framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	32892	10324	6	93.34	3.19	0	0	1366.71	1877.87	1366.71	0.0002	0	99.2	100	100	90	6.69	35	18.3	0	995.2	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	10665	2.4	239051	74575	3	92.72	3.21	6513	168	2107.65	2587.48	2107.65	0.0001	6	95.2	100	100	90	5.82	39.9	21.63	0	999.14	0	-0.013	13	868	474	85	604.86	29635.29
jquery	True	760	2.26	100009	34722	1	99.5	2.88	1317	112	1814.32	1980.88	1814.32	0.1457	0	92	100	100	90	5.73	34.9	16.63	0	993.81	0	-0.021	3	481	287	45	87.4	18604.14
lit	True	524	2.21	60102	15752	1	98.82	3.82	1314	111	1533.1	1844.05	1533.1	0.0548	0	99	96	100	90	5.91	25	16.63	0	975.37	0	-0.012	8	1310	955	84	246.73	46709.68
preact	True	521	2.18	27622	10088	1	100	2.74	1016	104	1371.63	1676.54	1371.63	0.0001	0	99.6	100	100	90	5.9	34.9	9.98	0	985.53	0	-0.013	12	776	461	101	585.8	25344.18
qwik	True	796	2.25	182004	69151	26	100	2.63	1312	112	1402.23	2121.46	1402.23	0.7861	0	79	96	100	90	6.7	35	19.97	0	992.89	0	-0.012	16	754	414	83	862.46	26425.59
react	True	834	2.31	158538	50256	1	100	3.15	1016	105	1960.8	2266.2	1960.8	0.0001	0	97	100	100	90	7.31	44.9	23.3	0	994.51	0	-0.016	13	762	438	90	634.69	24213.69
solid	True	750	2.18	26458	9243	1	100	2.86	1308	112	1364.57	1536.85	1364.57	0.0001	0	100	100	100	90	8.05	34.8	11.62	0	987.5	0	-0.015	12	786	458	98	581.44	26202.05
svelte	True	1887	2.27	115513	38344	11	69.89	3.01	1017	103	1673.08	2132.5	1673.08	0.0001	0	98	100	100	90	5.26	30	19.97	0	991.44	0	-0.013	12	797	405	101	690.76	16137.4
vanilla	True	0	0	41612	10960	6	100	3.8	0	0	1223.29	1528.66	1223.29	0.1458	0	94	100	96	90	8.51	20	11.67	0	980.81	0	0.003	3	560	426	74	71.69	20768.9
vanjs	True	475	2.17	17211	5999	1	96.97	2.87	1016	103	1223.85	1387.48	1223.85	0.0001	0	100	100	100	90	8.37	49.9	24.93	0	969.65	0	0.002	3	743	388	76	74.17	22895.14
vue	True	851	2.23	76585	29349	1	100	2.61	1303	111	1631.08	1845.02	1631.08	0.0001	0	99	100	100	90	6.34	25	15	0	990.3	0	-0.013	11	677	217	57	686.46	10853.47
