framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1578.4	2017.07	1578.4	0.0003	25.4	98.6	100	100	90	14.73	0	0	0	980.8	0	-0.016	3	444	299	68	83.56	13776.09
angular	True	14016	2.4	239051	74575	3	92.72	3.21	11178	226	2106.8	2639.2	2106.8	0.0001	29	95	100	100	90	14.18	0	0	0	973.68	0	-0.005	13	868	474	85	604.86	29635.29
jquery	True	1177	2.26	100009	34722	1	99.5	2.88	1597	118	1808.93	1978.39	1808.93	0.1459	0	92	100	99.2	90	14.78	0	0	0	970.38	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	747	2.21	60102	15752	1	98.82	3.82	1583	119	1506.76	1846.33	1506.76	0.055	2	99	96	100	90	14.32	0	0	0	960.99	0	-0.002	8	1310	955	84	246.73	46709.68
preact	True	757	2.18	27622	10088	1	100	2.74	1024	104	1363.61	1637.52	1363.61	0.0001	0	99.8	100	100	90	14.84	0	0	0	966.63	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1368	2.25	91158	34628	13	100	2.63	1586	117	1387.26	2125.55	1387.26	0.8052	0	79	96	100	90	15.64	0	0	0	970.56	0	-0.003	16	754	414	83	862.46	26425.59
react	True	1301	2.31	158538	50256	1	100	3.15	1023	105	1941.62	2245.83	1941.62	0.0001	153.4	93.4	100	100	90	15.25	0	0	0	967.02	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1109	2.18	26458	9243	1	100	2.86	1598	116	1369.44	1541.06	1369.44	0.0001	0	100	100	100	90	16.18	0	0	0	964.56	0	-0.003	12	786	458	98	581.44	26202.05
svelte	True	3116	2.27	115504	38340	11	69.89	3.01	1027	104	1666.13	2053.83	1666.13	0	0.5	98.4	100	96	90	14.09	0	0	0	945.89	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1214.64	1519.52	1214.64	0.1461	0	94	100	96	90	14.57	0	0	0	958.88	0	-0.01	3	560	426	74	71.69	20768.9
vanjs	True	666	2.17	17211	5999	1	96.97	2.87	1024	104	1208.58	1388.27	1208.58	0.0001	0	100	100	100	90	14.62	0	0	0	953.91	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1393	2.23	76585	29349	1	100	2.61	1586	117	1626.54	1849.41	1626.54	0.0001	0	99	100	100	90	15.4	0	0	0	966.36	0	-0.003	11	677	217	57	686.46	10853.47
