framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1668.12	2024.91	1668.12	0.0002	24.8	98.4	100	100	90	16.85	119.3	39.77	0	1211.68	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	3374	2.31	151436	49282	1	100	3.07	3454	105	1958.25	2321.18	1958.25	0.0001	10.8	97	100	100	90	18.87	124.3	41.43	0	1188.42	0	-0.008	13	761	422	88	634.61	27287.05
astro	True	1355	2.17	11475	3814	1	100	3.01	2289	109	1207.62	1507.62	1207.62	0.0001	0	100	100	100	90	21.25	89.5	29.83	0	1167.19	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	931	2.19	32881	9964	1	98.43	3.3	1020	105	1547.26	1702.38	1547.26	0.0001	5.2	99	100	100	90	18.42	34.9	11.63	0	1187.12	0	-0.006	13	713	452	91	678.96	24340.98
jquery	True	1112	2.26	100009	34722	1	99.5	2.88	1033	107	1832.63	2021.55	1832.63	0.1459	0	92	100	99.2	90	19.02	119.5	20.75	0	1182.34	0	-0.014	3	481	287	45	87.4	18604.14
lit	True	699	2.21	59808	15719	1	98.81	3.8	1022	105	1554.52	1861.18	1554.52	0.055	1.2	99	96	100	90	17.24	114.2	38.07	0	1190.52	0	-0.002	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1213.39	1711.82	1213.39	0.0001	0	100	100	100	100	18.97	94.5	31.5	0	1175.11	0	-0.004	4	321	234	67	154.88	17543.75
octane	True	2046	2.3	148231	46596	1	100	3.18	1021	105	2004	2264.69	2004	0.0002	0	97	100	100	90	18.44	144.2	48.07	0	1176.25	0	-0.013	12	741	421	89	579.82	24098.68
preact	True	714	2.18	27622	10088	1	100	2.74	1022	105	1361.15	1666.72	1361.15	0.0001	0	99.6	100	100	90	16.31	134.2	23.2	0	1179.36	0	-0.009	12	776	461	101	585.8	25344.18
qwik	True	1200	2.25	91158	34628	13	100	2.63	1031	107	1402.05	2124.46	1402.05	0.8189	0	78.8	96	100	90	14.99	114.5	38.17	0	1182.7	0	-0.007	16	754	415	83	861.8	26425.59
react	True	1226	2.31	158538	50256	1	100	3.15	1023	105	1939.33	2242.99	1939.33	0.0001	234.6	92.4	100	100	90	17.05	119.4	39.8	0	1176.22	0	-0.011	13	762	438	90	634.69	24213.69
solid	True	1077	2.18	26458	9243	1	100	2.86	1023	105	1394.3	1548.45	1394.3	0.0001	0	99.2	100	100	90	20.73	119.5	20.75	0	1176.7	0	-0.005	12	786	458	98	581.44	26202.05
svelte	True	2862	2.27	117670	38611	11	68.6	3.05	1700	121	1669.05	2120.7	1669.05	0	1.6	98	100	96	90	20.59	139.4	46.47	0	1162.22	0	-0.003	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1281.51	1552.94	1281.51	0.146	0	94	100	96	90	18.8	124.5	41.5	0	1180.38	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	615	2.17	17211	5999	1	96.97	2.87	1022	105	1209.69	1397.93	1209.69	0.0001	0	100	100	100	90	15.4	114.4	38.13	0	1177.47	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1291	2.23	76585	29349	1	100	2.61	1023	104	1659.2	1861.2	1659.2	0.0001	0.2	99	100	100	90	20.74	124.4	41.47	0	1187.46	0	-0.005	11	677	217	57	686.46	10853.47
