framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1360.62	2109.76	1360.62	0.0003	65	99	100	100	90	6.7	24.9	8.3	0	974.41	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	19310	2.4	239051	74575	3	92.72	3.21	14788	318	2107.21	2648.81	2107.21	0.0001	42.5	95	100	100	90	19.04	89.4	29.8	0	983.56	0	-0.009	13	868	474	85	604.86	29635.29
jquery	True	1530	2.26	100009	34722	1	99.5	2.88	1033	110	1704.14	2040.27	1704.14	0.1459	6.5	93	100	96	90	7.02	74.7	13.28	0	973.77	0	-0.021	3	481	287	45	87.4	18604.14
lit	True	859	2.21	60102	15752	1	98.82	3.82	1022	105	1557.63	1713.27	1557.63	0.055	1	99	96	100	90	8.14	29.9	9.97	0	959.29	0	-0.01	8	1310	955	84	246.73	46709.68
preact	True	872	2.18	27622	10088	1	100	2.74	1023	105	1261.49	1567.74	1261.49	0.0001	0	100	100	100	90	5.65	69.8	23.27	0	964.89	0	-0.013	12	776	461	101	585.8	25344.18
qwik	True	1776	2.25	91158	34628	13	100	2.63	1039	112	1497.77	2374.8	1497.77	0.0002	28	98	96	100	90	10.03	79.4	26.47	0	970.34	0	-0.01	16	754	414	83	862.46	26425.59
react	True	1695	2.31	158538	50256	1	100	3.15	1023	105	1922.31	2230.46	1922.31	0	148.5	96	100	100	90	7.03	92.9	30.97	0	971.64	0	-0.013	13	762	438	90	634.69	24213.69
solid	True	1334	2.18	26458	9243	1	100	2.86	1023	106	1253.61	1600.92	1253.61	0.0001	0	100	100	100	90	6.63	24.9	8.3	0	958.87	0	-0.012	12	786	458	98	581.44	26202.05
svelte	True	4037	2.27	115504	38339	11	69.89	3.01	2522	125	1711.03	2034.06	1711.03	0	0	98	100	96	90	6.18	79.7	26.57	0	949.32	0	-0.011	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1368.7	1524.94	1368.7	0.1459	0	94	100	96	90	6.95	19.8	6.6	0	963.39	0	-0.011	3	560	426	74	71.69	20768.9
vanjs	True	746	2.17	17211	5999	1	96.97	2.87	1024	105	1271.4	1580.8	1271.4	0.0001	0	100	100	100	90	6.57	69.7	12.45	0	945.36	0	-0.001	3	743	388	76	74.17	22895.14
vue	True	1765	2.23	76585	29349	1	100	2.61	1024	105	1572.43	1932.14	1572.43	0.0001	3	99	100	100	90	6.31	29.8	5.8	0	966.76	0	-0.013	11	677	217	57	686.46	10853.47
